Movie Name,Year,Duration,Rating
The Graduate,1967,106 min,8.0
What Ever Happened to Baby Jane?,1962,134 min,8.0
Pâfekuto burû,1997,81 min,8.0
The Maltese Falcon,1941,100 min,8.0
The Pursuit of Happyness,2006,117 min,8.0
JFK,1991,189 min,8.0
Kill Bill: Vol. 2,2004,137 min,8.0
The King's Speech,2010,118 min,8.0
Akira,1988,124 min,8.0
Cinderella Man,2005,144 min,8.0
Chung Hing sam lam,1994,102 min,8.0
Rosemary's Baby,1968,137 min,8.0
Dog Day Afternoon,1975,125 min,8.0
Do the Right Thing,1989,120 min,8.0
Lion,2016,118 min,8.0
Contratiempo,2016,106 min,8.0
Papillon,1973,151 min,8.0
Blood Diamond,2006,143 min,8.0
Young Frankenstein,1974,106 min,8.0
Butch Cassidy and the Sundance Kid,1969,110 min,8.0
Dogville,2003,178 min,8.0
Annie Hall,1977,93 min,8.0
Bãhubali: The Beginning,2015,159 min,8.0
Rio Bravo,1959,141 min,8.0
Sling Blade,1996,135 min,8.0
Solaris,1972,167 min,8.0
Fiddler on the Roof,1971,181 min,8.0
Roman Holiday,1953,118 min,8.0
Gandhi,1982,191 min,8.0
Kaze no tani no Naushika,1984,117 min,8.0
Being There,1979,130 min,8.0
The Last Picture Show,1971,118 min,8.0
8½,1963,138 min,8.0
Tenkû no shiro Rapyuta,1986,125 min,8.0
Pink Floyd: The Wall,1982,95 min,8.0
La dolce vita,1960,174 min,8.0
Who's Afraid of Virginia Woolf?,1966,131 min,8.0
WolfWalkers,2020,103 min,8.0
Mommy,I 2014,139 min,8.0
High Noon,1952,85 min,8.0
Anatomy of a Murder,1959,161 min,8.0
Der Himmel über Berlin,1987,128 min,8.0
Zerkalo,1975,107 min,8.0
Mou gaan dou,2002,101 min,8.0
The Night of the Hunter,1955,92 min,8.0
Das Cabinet des Dr. Caligari,1920,76 min,8.0
Touch of Evil,1958,95 min,8.0
The Straight Story,1999,112 min,8.0
The Hustler,1961,134 min,8.0
Kaguya-hime no monogatari,2013,137 min,8.0
Tropa de Elite,2007,115 min,8.0
La leggenda del pianista sull'oceano,1998,169 min,8.0
Il gattopardo,1963,186 min,8.0
Song of the Sea,2014,93 min,8.0
Secrets & Lies,1996,136 min,8.0
Yeopgijeogin geunyeo,2001,137 min,8.0
Fitzcarraldo,1982,158 min,8.0
Nostalgia,1983,125 min,8.0
Sweet Smell of Success,1957,96 min,8.0
Le scaphandre et le papillon,2007,112 min,8.0
Le Samouraï,1967,105 min,8.0
Stalag 17,1953,120 min,8.0
"Quo vadis, Aida?",2020,101 min,8.0
Out of the Past,1947,97 min,8.0
Brief Encounter,1945,86 min,8.0
Bom yeoreum gaeul gyeoul geurigo bom,2003,103 min,8.0
Dare mo shiranai,2004,141 min,8.0
Sleuth,1972,138 min,8.0
Persepolis,2007,96 min,8.0
Dilwale Dulhania Le Jayenge,1995,189 min,8.0
"Crna macka, beli macor",1998,127 min,8.0
Ivanovo detstvo,1962,95 min,8.0
La Strada,1954,108 min,8.0
Mar adentro,I 2004,126 min,8.0
Okuribito,2008,130 min,8.0
Viskningar och rop,1972,91 min,8.0
Au revoir les enfants,1987,104 min,8.0
Kind Hearts and Coronets,1949,106 min,8.0
Central do Brasil,1998,110 min,8.0
The Shop Around the Corner,1940,99 min,8.0
El ángel exterminador,1962,95 min,8.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,8.0
Sanjuro,1962,96 min,8.0
Haider,2014,160 min,8.0
Roma città aperta,1945,103 min,8.0
G.O.R.A.,2004,127 min,8.0
Taegukgi hwinalrimyeo,2004,140 min,8.0
Nattvardsgästerna,1963,81 min,8.0
Andaz Apna Apna,1994,160 min,8.0
Vizontele,2001,110 min,8.0
Lage Raho Munna Bhai,2006,144 min,8.0
Special Chabbis,2013,144 min,8.0
Nefes: Vatan Sagolsun,2009,128 min,8.0
Everything Everywhere All at Once,2022,139 min,7.9
The Ten Commandments,1956,220 min,7.9
Puss in Boots: The Last Wish,2022,102 min,7.9
Avatar,2009,162 min,7.9
Titanic,1997,194 min,7.9
RRR (Rise Roar Revolt),2022,187 min,7.9
Knives Out,2019,130 min,7.9
Children of Men,2006,109 min,7.9
The Bourne Identity,2002,119 min,7.9
Mulholland Dr.,2001,147 min,7.9
Harry Potter and the Prisoner of Azkaban,2004,142 min,7.9
In Bruges,2008,107 min,7.9
Arrival,II 2016,116 min,7.9
Iron Man,2008,126 min,7.9
Almost Famous,2000,122 min,7.9
Shrek,2001,90 min,7.9
Boogie Nights,1997,155 min,7.9
Thor: Ragnarok,2017,130 min,7.9
Jojo Rabbit,2019,108 min,7.9
Bohemian Rhapsody,2018,134 min,7.9
True Romance,1993,119 min,7.9
E.T. the Extra-Terrestrial,1982,115 min,7.9
Edge of Tomorrow,2014,113 min,7.9
The Perks of Being a Wallflower,2012,103 min,7.9
Fantastic Mr. Fox,2009,87 min,7.9
Mystic River,2003,138 min,7.9
Star Trek,2009,127 min,7.9
District 9,2009,112 min,7.9
Marriage Story,2019,137 min,7.9
Wonder,I 2017,113 min,7.9
Carlito's Way,1993,144 min,7.9
Wo hu cang long,2000,120 min,7.9
Shaun of the Dead,2004,99 min,7.9
X-Men: Days of Future Past,2014,132 min,7.9
Boyhood,I 2014,165 min,7.9
Life of Pi,2012,127 min,7.9
The Blues Brothers,1980,133 min,7.9
Edward Scissorhands,1990,105 min,7.9
Dallas Buyers Club,2013,117 min,7.9
The Adventures of Robin Hood,1938,102 min,7.9
The Wrestler,2008,109 min,7.9
The Nightmare Before Christmas,1993,76 min,7.9
The Man from Earth,2007,87 min,7.9
Spartacus,1960,197 min,7.9
Toy Story 2,1999,92 min,7.9
A Streetcar Named Desire,1951,122 min,7.9
Brazil,1985,132 min,7.9
Nosferatu,1922,94 min,7.9
This Is Spinal Tap,1984,82 min,7.9
Kôkaku kidôtai,1995,83 min,7.9
Per un pugno di dollari,1964,99 min,7.9
The Searchers,1956,119 min,7.9
Serbuan maut 2: Berandal,2014,150 min,7.9
Before Midnight,2013,109 min,7.9
All the President's Men,1976,138 min,7.9
Doctor Zhivago,1965,197 min,7.9
The Wild Bunch,1969,145 min,7.9
Låt den rätte komma in,2008,114 min,7.9
Bound by Honor,1993,180 min,7.9
Ying xiong,2002,120 min,7.9
The Artist,I 2011,100 min,7.9
King Kong,1933,100 min,7.9
Trois couleurs: Bleu,1993,94 min,7.9
Charade,1963,113 min,7.9
Dancer in the Dark,2000,140 min,7.9
In the Heat of the Night,1967,110 min,7.9
In a Lonely Place,1950,94 min,7.9
Manbiki kazoku,2018,121 min,7.9
Harold and Maude,1971,91 min,7.9
Patton,1970,172 min,7.9
Letters from Iwo Jima,2006,141 min,7.9
A Christmas Story,1983,93 min,7.9
Strangers on a Train,1951,101 min,7.9
Togo,2019,113 min,7.9
Sing Street,2016,106 min,7.9
Cat on a Hot Tin Roof,1958,108 min,7.9
The Philadelphia Story,1940,112 min,7.9
In Cold Blood,1967,134 min,7.9
Notorious,1946,102 min,7.9
Mimi wo sumaseba,1995,111 min,7.9
Il conformista,1970,113 min,7.9
The Manchurian Candidate,1962,126 min,7.9
The Killing,1956,84 min,7.9
Amour,2012,127 min,7.9
Rope,1948,80 min,7.9
Short Term 12,2013,96 min,7.9
The Big Sleep,1946,114 min,7.9
Arsenic and Old Lace,1944,118 min,7.9
Sacrifice,1986,149 min,7.9
The Lion in Winter,1968,134 min,7.9
Laura,1944,88 min,7.9
Harvey,1950,104 min,7.9
Hable con ella,2002,112 min,7.9
Once Were Warriors,1994,102 min,7.9
Bin-jip,2004,88 min,7.9
Amarcord,1973,123 min,7.9
Darbareye Elly,2009,119 min,7.9
Kagemusha,1980,180 min,7.9
Taeksi woonjunsa,2017,137 min,7.9
Mildred Pierce,1945,111 min,7.9
Gegen die Wand,2004,121 min,7.9
The Thin Man,1934,91 min,7.9
My Name Is Khan,2010,165 min,7.9
Kal Ho Naa Ho,2003,186 min,7.9
The Lost Weekend,1945,101 min,7.9
"4 luni, 3 saptamâni si 2 zile",2007,113 min,7.9
Vozvrashchenie,2003,110 min,7.9
Hoje Eu Quero Voltar Sozinho,2014,96 min,7.9
Ascenseur pour l'échafaud,1958,91 min,7.9
Nueve reinas,2000,114 min,7.9
Hiroshima mon amour,1959,90 min,7.9
Bronenosets Potemkin,1925,75 min,7.9
Jab We Met,2007,138 min,7.9
Gully Boy,2019,154 min,7.9
Le cercle rouge,1970,140 min,7.9
Miracle on 34th Street,1947,96 min,7.9
The Big Heat,1953,89 min,7.9
La règle du jeu,1939,110 min,7.9
Såsom i en spegel,1961,90 min,7.9
Sullivan's Travels,1941,90 min,7.9
M.S. Dhoni: The Untold Story,2016,184 min,7.9
No Man's Land,I 2001,98 min,7.9
Dev.D,2009,144 min,7.9
C.R.A.Z.Y.,2005,129 min,7.9
La Belle et la Bête,1946,96 min,7.9
Badhaai ho,2018,124 min,7.9
Super 30,2019,154 min,7.9
Padman,2018,140 min,7.9
Baby,I 2015,159 min,7.9
Airlift,2016,130 min,7.9
Im Westen nichts Neues,2022,148 min,7.8
The Batman,2022,176 min,7.8
The Gentlemen,2019,113 min,7.8
Tombstone,1993,130 min,7.8
Pride & Prejudice,2005,129 min,7.8
Little Women,2019,135 min,7.8
Rogue One,2016,133 min,7.8
The Hateful Eight,2015,168 min,7.8
Drive,I 2011,100 min,7.8
The Breakfast Club,1985,97 min,7.8
Call Me by Your Name,2017,132 min,7.8
The Hobbit: An Unexpected Journey,2012,169 min,7.8
The Irishman,2019,209 min,7.8
The Notebook,2004,123 min,7.8
The Big Short,2015,130 min,7.8
Apocalypto,2006,139 min,7.8
Hidden Figures,2016,127 min,7.8
Willy Wonka & the Chocolate Factory,1971,100 min,7.8
The Sandlot,1993,101 min,7.8
Dunkirk,2017,106 min,7.8
The Social Network,2010,120 min,7.8
The Girl with the Dragon Tattoo,2011,158 min,7.8
Ferris Bueller's Day Off,1986,103 min,7.8
Star Wars: Episode VII - The Force Awakens,2015,138 min,7.8
About Time,I 2013,123 min,7.8
Atonement,2007,123 min,7.8
Little Miss Sunshine,2006,101 min,7.8
Predator,1987,107 min,7.8
Nightcrawler,2014,117 min,7.8
The Fugitive,1993,130 min,7.8
A Bronx Tale,1993,121 min,7.8
Verdens verste menneske,2021,128 min,7.8
Ghostbusters,1984,105 min,7.8
Taken,I 2008,90 min,7.8
Moonrise Kingdom,2012,94 min,7.8
Hot Fuzz,2007,121 min,7.8
The Curious Case of Benjamin Button,2008,166 min,7.8
Manchester by the Sea,2016,137 min,7.8
Remember the Titans,2000,113 min,7.8
Captain America: Civil War,2016,147 min,7.8
American Gangster,2007,157 min,7.8
Paddington 2,2017,103 min,7.8
Cast Away,2000,143 min,7.8
Isle of Dogs,2018,101 min,7.8
Skyfall,2012,143 min,7.8
The Untouchables,1987,119 min,7.8
Misery,1990,107 min,7.8
Captain America: The Winter Soldier,2014,136 min,7.8
The Hobbit: The Desolation of Smaug,2013,161 min,7.8
Mr. Nobody,2009,141 min,7.8
Mary Poppins,1964,139 min,7.8
Captain Fantastic,2016,118 min,7.8
Boyz n the Hood,1991,112 min,7.8
Ang-ma-reul bo-at-da,2010,144 min,7.8
Thirteen Lives,2022,147 min,7.8
The Last Samurai,2003,154 min,7.8
Big Hero 6,2014,102 min,7.8
The Fighter,I 2010,116 min,7.8
Awakenings,1990,121 min,7.8
Moon,2009,97 min,7.8
Walk the Line,2005,136 min,7.8
Back to the Future Part II,1989,108 min,7.8
Gattaca,1997,106 min,7.8
Straight Outta Compton,2015,147 min,7.8
Captain Phillips,2013,134 min,7.8
The Remains of the Day,1993,134 min,7.8
Serenity,2005,119 min,7.8
Män som hatar kvinnor,2009,152 min,7.8
La montaña sagrada,1973,114 min,7.8
Midnight Cowboy,1969,113 min,7.8
Gaslight,1944,114 min,7.8
The Conversation,1974,113 min,7.8
How to Train Your Dragon 2,2014,102 min,7.8
Glory,1989,122 min,7.8
The Fall,I 2006,117 min,7.8
Cabaret,1972,124 min,7.8
The Insider,1999,157 min,7.8
Changeling,2008,141 min,7.8
Majo no takkyûbin,1989,103 min,7.8
Hunt for the Wilderpeople,2016,101 min,7.8
Ed Wood,1994,127 min,7.8
My Fair Lady,1964,170 min,7.8
La migliore offerta,2013,131 min,7.8
The Outlaw Josey Wales,1976,135 min,7.8
October Sky,1999,108 min,7.8
The King of Comedy,1982,109 min,7.8
Mississippi Burning,1988,128 min,7.8
Kramer vs. Kramer,1979,105 min,7.8
Dawn of the Dead,1978,127 min,7.8
Night of the Living Dead,1968,96 min,7.8
The Right Stuff,1983,193 min,7.8
Once,I 2007,86 min,7.8
Breaking the Waves,1996,159 min,7.8
All That Jazz,1979,123 min,7.8
The Day of the Jackal,1973,143 min,7.8
The World's Fastest Indian,2005,127 min,7.8
